ID,Title,Authors,Year,Publication type,Venue / Publisher,DOI,arXiv ID,OpenReview ID,Primary category,Secondary categories,Keywords,Notes,URL
bengio-international-ai-safety-report-2025,International AI Safety Report,Y. Bengio; S. Mindermann; D. Privitera; T. Besiroglu; R. Bommasani; S. Casper; Y. Choi; P. Fox; B. Garfinkel; D. Goldfarb; H. Heidari; A. Ho; S. Kapoor; L. Khalatbari; S. Longpre; S. Manning; V. Mavroudis; M. Mazeika; J. Michael; J. Newman; K. Y. Ng; C. T. Okolo; D. Raji; G. Sastry; E. Seger; T. Skeadas; T. South; E. Strubell; F. Tramèr; L. Velasco; N. Wheeler; D. Acemoglu; O. Adekanmbi; D. Dalrymple; T. G. Dietterich; E. W. Felten; P. Fung; P.-O. Gourinchas; F. Heintz; G. Hinton; N. Jennings; A. Krause; S. Leavy; P. Liang; T. Ludermir; V. Marda; H. Margetts; J. McDermid; J. Munga; A. Narayanan; A. Nelson; C. Neppel; A. Oh; G. Ramchurn; S. Russell; M. Schaake; B. Schölkopf; D. Song; A. Soto; L. Tiedrich; G. Varoquaux; A. Yao; Y.-Q. Zhang; F. Albalawi; M. Alserkal; O. Ajala; G. Avrin; C. Busch; A. C. P. de Leon Ferreira de Carvalho; B. Fox; A. S. Gill; A. H. Hatip; J. Heikkilä; G. Jolly; Z. Katzir; H. Kitano; A. Krüger; C. Johnson; S. M. Khan; K. M. Lee; D. V. Ligot; O. Molchanovskyi; A. Monti; N. Mwamanzi; M. Nemer; N. Oliver; J. R. López Portillo; B. Ravindran; R. Pezoa Rivera; H. Riza; C. Rugege; C. Seoighe; J. Sheehan; H. Sheikh; D. Wong; Y. Zeng,2025,Report,International AI Safety Report,10.48550/arXiv.2501.17805,2501.17805,,Motivations and policy proposals,AI risk assessment,general-purpose AI; capabilities; malicious use; technical failures; systemic risks; risk management; international scientific assessment,"Synthesizes scientific evidence on the capabilities, risks, and safety of advanced AI systems, including risks that motivate monitoring and verification.",https://internationalaisafetyreport.org/publication/international-ai-safety-report-2025
anwar-foundational-challenges-assuring-alignment-safety,Foundational Challenges in Assuring Alignment and Safety of Large Language Models,U. Anwar; A. Saparov; J. Rando; D. Paleka; M. Turpin; P. Hase; E. S. Lubana; E. Jenner; S. Casper; O. Sourbut; B. L. Edelman; Z. Zhang; M. Günther; A. Korinek; J. Hernandez-Orallo; L. Hammond; E. Bigelow; A. Pan; L. Langosco; T. Korbak; H. Zhang; R. Zhong; S. Ó hÉigeartaigh; G. Recchia; G. Corsi; A. Chan; M. Anderljung; L. Edwards; A. Petrov; C. Schroeder de Witt; S. R. Motwan; Y. Bengio; D. Chen; P. H. S. Torr; S. Albanie; T. Maharaj; J. Foerster; F. Tramèr; H. He; A. Kasirzadeh; Y. Choi; D. Krueger,2024,Preprint,arXiv,10.48550/arXiv.2404.09932,2404.09932,oVTkOs8Pka,Motivations and policy proposals,AI assurance,AI assurance; alignment; safety; large language models; monitoring; evaluations; sociotechnical challenges; research agenda,Identifies 18 foundational challenges and more than 200 research questions for assuring the alignment and safety of large language models.,https://arxiv.org/abs/2404.09932
aarne-secure-governable-chips,"Secure, Governable Chips: Using On-Chip Mechanisms to Manage National Security Risks from AI & Advanced Computing",O. Aarne; T. Fist; C. Withers,2024,Report,Center for a New American Security,,,,Motivations and policy proposals,On-chip governance,on-chip governance; remote attestation; operating licenses; export controls; tamper evidence; AI chips; hardware security,"Proposes secure on-chip governance mechanisms for verification, operating licenses, export-control enforcement, and future international agreements.",https://www.cnas.org/publications/reports/secure-governable-chips
kulp-hardware-enabled-governance-mechanisms,Hardware-Enabled Governance Mechanisms: Developing Technical Solutions to Exempt Items Otherwise Classified Under Export Control Classification Numbers 3A090 and 4A090,G. Kulp; D. Gonzales; E. Smith; L. Heim; P. Puri; M. J. D. Vermeer; Z. Winkelman,2024,Working paper,RAND Corporation,10.7249/WRA3056-1,,,Motivations and policy proposals,Export-control enforcement,hardware-enabled governance mechanisms; export controls; end-use restrictions; high-performance chips; threat models; attack vectors; hardware security,Develops and assesses hardware-enabled mechanisms that could support targeted end-use restrictions on export-controlled AI chips.,https://www.rand.org/pubs/working_papers/WRA3056-1.html
heim-governing-through-cloud,Governing Through the Cloud: The Intermediary Role of Compute Providers in AI Regulation,L. Heim; T. Fist; J. Egan; S. Huang; S. Zekany; R. Trager; M. Osborne; N. Zilberman,2024,Policy paper,Oxford Martin AI Governance Initiative,,,,Motivations and policy proposals,Compute-provider regulation,compute providers; cloud governance; record keeping; workload classification; compliance verification; enforcement; privacy; internationalization,"Argues that compute providers can act as securers, record keepers, verifiers, and enforcers within AI regulatory systems.",https://www.oxfordmartin.ox.ac.uk/publications/governing-through-the-cloud-the-intermediary-role-of-compute-providers-in-ai-regulation
seferis-detecting-compute-structuring,Detecting Compute Structuring in AI Governance is Likely Feasible,E. Seferis; T. Fist,2025,Workshop paper,ICML 2025 Workshop on Technical AI Governance,,,qseqw1sWzz,Motivations and policy proposals,Compute-threshold evasion,compute structuring; distributed compute; threshold evasion; workload detection; compute governance; AI training; compliance monitoring,Examines whether developers could evade compute-based rules by splitting training across smaller clusters and assesses potential detection approaches.,https://openreview.net/forum?id=qseqw1sWzz
rahman-distributed-training-compute-governance,Does Distributed Training Undermine Compute Governance?,R. Rahman,2026,Workshop paper,ICML 2026 Workshop on Technical AI Governance Research,10.48550/arXiv.2605.29359,2605.29359,aco6HEbVTA,Motivations and policy proposals,Distributed training and evasion,distributed training; compute governance; cluster thresholds; evasion; chip tracking; forensic accounting; whistleblowing; memory thresholds,Evaluates whether geographically or organizationally distributed training could evade compute-governance regimes and outlines possible countermeasures.,https://arxiv.org/abs/2605.29359
trager-international-governance-civilian-ai,International Governance of Civilian AI: A Jurisdictional Certification Approach,R. Trager; B. Harack; A. Reuel; A. Carnegie; L. Heim; L. Ho; S. Kreps; R. Lall; O. Larter; S. Ó hÉigeartaigh; S. Staffell; J. J. Villalobos,2023,Report,Centre for the Governance of AI,10.48550/arXiv.2308.15514,2308.15514,,Motivations and policy proposals,International certification,international governance; jurisdictional certification; international organization; licensing; standards; trade controls; AI hardware; compliance,Proposes an international organization that certifies national jurisdictions for compliance with common AI oversight standards.,https://arxiv.org/abs/2308.15514
wasil-verification-methods-international-ai-agreements,Verification methods for international AI agreements,A. R. Wasil; T. Reed; J. W. Miller; P. Barnett,2024,Preprint,arXiv,10.48550/arXiv.2408.16074,2408.16074,,Motivations and policy proposals,International verification methods,international agreements; national technical means; on-site access; hardware-dependent verification; unauthorized training; data-center detection; evasion,Surveys ten methods for detecting unauthorized AI training or data centers under international agreements.,https://arxiv.org/abs/2408.16074
scher-agreement-prevent-premature-asi,An International Agreement to Prevent the Premature Creation of Artificial Superintelligence,A. Scher; D. Abecassis; P. Barnett; B. Abeyta,2025,Report,Machine Intelligence Research Institute,10.48550/arXiv.2511.10783,2511.10783,,Motivations and policy proposals,International capability restraint,artificial superintelligence; international agreement; capability restraint; training limits; chip tracking; workload verification; dangerous AI research,"Proposes a US–China-led international agreement restricting large-scale training and dangerous AI research, backed by chip tracking and verification of chip use.",https://arxiv.org/abs/2511.10783
carlsmith-restraining-ai-development-safety,On restraining AI development for the sake of safety,J. Carlsmith,2026,Essay,Joseph Carlsmith,,,,Motivations and policy proposals,Capability restraint,capability restraint; AI slowdown; AI pause; safety progress; risk evaluation; compute governance; algorithmic governance; international coordination,"Analyzes the case for capability restraint, its practical forms, potential benefits, feasibility, and risks.",https://joecarlsmith.com/2026/03/19/on-restraining-ai-development-for-the-sake-of-safety/
chan-components-frontier-ai-slowdown,Components of a Frontier AI Slowdown,A. Chan,2026,Essay,A Strange Attractor,,,,Motivations and policy proposals,Slowdown design,frontier AI slowdown; capability restraint; policy design; safety research; safeguards; deliberation; scope; governance structure,"Distinguishes three design components of a frontier-AI slowdown: its aims, what activities are slowed, and its institutional structure.",https://astrangeattractor.substack.com/p/components-of-a-frontier-ai-slowdown
